Отчет Суммы по организациям;;;;;;;;;;;;;;;;
Без заявок: Нет;;;;;;;;;;;;;;;;
№;Название;ИНН;Менеджер;Всего кол-во;Всего сумма;ПРОФ кол-во;ПРОФ сумма;ЛМК кол-во;ЛМК сумма;Справки кол-во;Справки сумма;Лечение кол-во;Лечение сумма;Себестоимость;Маржинальность;Маржинальность %
140;"ООО ""ОБЕРОН""";7722283103;Якубжанова Екатерина (3);15;31000;10;22000;;;5;9000;;;0;31000; 100.00
141;"ООО ""ОКНА МАСТЕР""";7723200195;Боташева (1);31;42000;16;24000;;;15;18000;;;0;42000; 100.00
142;"ООО ""ОЛИМП""";5029236953;Якубжанова Екатерина (3);1;1400;1;1400;;;;;;;0;1400; 100.00
143;"ООО ""ОЛИМП-КЭМП""";5022061461;Боташева (1);8;9450;;;3;7300;1;800;4;1350;7130;2320; 24.55
144;"ООО ""ОМЕГА""";7722499021;Якубжанова Екатерина (3);4;;2;;2;;;;;;4360;-4360;
145;"ООО ""ОСТРОВ ГЕРОЕВ""";7728806293;Боташева (1);2;4000;;;2;4000;;;;;3440;560; 14.00
146;"ООО ""ПАНАВТО""";7703618121;Якубжанова Екатерина (3);1;1200;1;1200;;;;;;;#Н/Д;#Н/Д;
147;"ООО ""ПЕРФЕКТУАЛЬ""";7751177484;Якубжанова Екатерина (3);6;10400;3;6600;3;3800;;;;;5010;5390; 51.83
148;"ООО ""ПИНТАКЛАБ""";7751019826;Якубжанова Екатерина (3);2;30800;;;;;;;2;30800;#Н/Д;#Н/Д;
149;"ООО ""ПИЩЕВЫЕ ТЕХНОЛОГИИ""";7805791661;Боташева (1);1;1700;;;1;1700;;;;;1000;700; 41.18
150;"ООО ""ПЛАНЕТА СЕРВИС""";7706739043;Якубжанова Екатерина (3);8;13700;2;4800;5;7700;1;1200;;;8850;4850; 35.40
151;"ООО ""ПОЛАР""";7726452218;Боташева (1);22;24675;11;;11;24675;;;;;22200;2475; 10.03
152;"ООО ""ПРЕДПРИЯТИЕ № 4001 РЦПП""";7730093089;Корнилова (6);6;9600;3;6600;;;3;3000;;;0;9600; 100.00
153;"ООО ""ПРЕМИУМ ЛАЗЕР""";7724438994;Якубжанова Екатерина (3);4;;1;;3;;;;;;6350;-6350;
154;"ООО ""ПРОПТИМАЙЗ""";5032320845;Якубжанова Екатерина (3);5;11000;5;11000;;;;;;;0;11000; 100.00
155;"ООО ПСК ""БРИГ""";275907386;Боташева (1);24;41800;13;28600;;;11;13200;;;0;41800; 100.00
156;"ООО ПТК ""АКЭЛ""";9718068435;Якубжанова Екатерина (3);6;10500;3;6000;;;3;4500;;;0;10500; 100.00
157;"ООО ""РОЛЬФ МОТОРС""";7715586594;Боташева (1);44;51300;23;34500;;;21;16800;;;0;51300; 100.00
158;"ООО ""РТК ИБ""";7704356648;Якубжанова Екатерина (3);23;57500;;;;;23;57500;;;#Н/Д;#Н/Д;
159;"ООО ""РУСЭНЕРГОПРОМ""";7725766980;Якубжанова Екатерина (3);4;6760;;;;;;;4;6760;#Н/Д;#Н/Д;
160;"ООО ""САНТОРИНИ""";7751209841;Якубжанова Екатерина (3);1;2200;1;2200;;;;;;;0;2200; 100.00
161;"ООО ""СЕЛЕКТ""";7723795873;Якубжанова Екатерина (3);62;117400;25;59000;19;36800;18;21600;;;28660;88740; 75.59
162;"ООО ""СЕРКОНС ЭКО""";7736315732;Якубжанова Екатерина (3);22;40000;11;25000;11;15000;;;;;21900;18100; 45.25
163;"ООО ""СИАРСИСИ РУС""";7730212723;Якубжанова Екатерина (3);3;7500;;;;;3;7500;;;0;7500; 100.00
164;"ООО ""СИНГЛ САЙТ МЕДИА""";7720709509;Боташева (1);1;2500;;;1;2500;;;;;2160;340; 13.60
165;"ООО ""СК""";1841071410;Боташева (1);15;43195;9;15300;;;;;6;27895;0;43195; 100.00
166;"ООО ""СК №1""";7717728371;Якубжанова Екатерина (3);11;24200;11;24200;;;;;;;0;24200; 100.00
167;"ООО ""СКАЛАЛЭНД СКАЗКА""";9710120500;Якубжанова Екатерина (3);2;2700;;;2;2700;;;;;4050;-1350;- 50.00
168;"ООО ""СКК""";7733797051;Боташева (1);29;59100;7;8400;22;50700;;;;;50573.32;8526.68; 14.43
169;"ООО ""СК КРОНОС""";4003035721;Якубжанова Екатерина (3);34;65000;20;44000;;;14;21000;;;0;65000; 100.00
170;"ООО ""СМАРТ""";7721336497;Боташева (1);7;9600;;;3;4900;1;800;3;3900;7230;2370; 24.69
171;"ООО ""СОЛАР СЕКЬЮРИТИ""";7718099790;Якубжанова Екатерина (3);19;47500;;;;;19;47500;;;#Н/Д;#Н/Д;
172;"ООО ""СОЮЗ""";5017089119;Боташева (1);2;3400;2;3400;;;;;;;0;3400; 100.00
173;"ООО ""СОЮЗ-ВИНО""";2337028367;Якубжанова Екатерина (3);55;129800;32;70400;23;59400;;;;;51800;78000; 60.09
174;"ООО ""С-ПРИНТ""";7447165728;Боташева (1);1;;1;;;;;;;;0;0;
175;"ООО ""СТАНДАРТ""";5009085054;Боташева (1);2;6250;;;2;6250;;;;;4750;1500; 24.00
